source,external_id,true_entity_id,is_confusable_distinct
registry,REG-00001,E0000,0
directory,DIR-00001,E0000,0
crm,CRM-00001,E0001,0
registry,REG-00002,E0001,0
directory,DIR-00002,E0002,0
crm,CRM-00002,E0002,0
registry,REG-00003,E0002,0
crm,CRM-00003,E0003,0
directory,DIR-00003,E0003,0
registry,REG-00004,E0004,0
directory,DIR-00004,E0004,0
directory,DIR-00005,E0005,0
crm,CRM-00004,E0005,0
registry,REG-00005,E0005,0
directory,DIR-00006,E0006,0
registry,REG-00006,E0006,0
crm,CRM-00005,E0006,0
registry,REG-00007,E0007,0
directory,DIR-00007,E0007,0
crm,CRM-00006,E0007,0
directory,DIR-00008,E0008,0
crm,CRM-00007,E0008,0
registry,REG-00008,E0009,0
directory,DIR-00009,E0009,0
crm,CRM-00008,E0009,0
crm,CRM-00009,E0010,0
directory,DIR-00010,E0010,0
registry,REG-00009,E0010,0
registry,REG-00010,E0010,0
crm,CRM-00010,E0011,0
registry,REG-00011,E0011,0
directory,DIR-00011,E0011,0
directory,DIR-00012,E0012,0
registry,REG-00012,E0012,0
crm,CRM-00011,E0012,0
registry,REG-00013,E0012,0
crm,CRM-00012,E0013,0
registry,REG-00014,E0013,0
directory,DIR-00013,E0013,0
crm,CRM-00013,E0013,0
directory,DIR-00014,E0014,0
crm,CRM-00014,E0014,0
registry,REG-00015,E0015,0
crm,CRM-00015,E0015,0
crm,CRM-00016,E0016,0
registry,REG-00016,E0016,0
directory,DIR-00015,E0016,0
registry,REG-00017,E0017,0
directory,DIR-00016,E0017,0
directory,DIR-00017,E0018,0
crm,CRM-00017,E0018,0
registry,REG-00018,E0019,0
crm,CRM-00018,E0019,0
directory,DIR-00018,E0019,0
crm,CRM-00019,E0019,0
crm,CRM-00020,E0020,0
directory,DIR-00019,E0020,0
crm,CRM-00021,E0021,0
directory,DIR-00020,E0021,0
registry,REG-00019,E0021,0
crm,CRM-00022,E0022,0
registry,REG-00020,E0022,0
directory,DIR-00021,E0022,0
registry,REG-00021,E0023,0
directory,DIR-00022,E0023,0
crm,CRM-00023,E0024,0
directory,DIR-00023,E0024,0
directory,DIR-00024,E0025,0
registry,REG-00022,E0025,0
directory,DIR-00025,E0026,0
crm,CRM-00024,E0026,0
registry,REG-00023,E0027,0
crm,CRM-00025,E0027,0
directory,DIR-00026,E0027,0
crm,CRM-00026,E0027,0
crm,CRM-00027,E0028,0
registry,REG-00024,E0028,0
directory,DIR-00027,E0028,0
crm,CRM-00028,E0029,0
registry,REG-00025,E0029,0
crm,CRM-00029,E0030,0
directory,DIR-00028,E0030,0
directory,DIR-00029,E0031,0
crm,CRM-00030,E0031,0
crm,CRM-00031,E0032,0
directory,DIR-00030,E0032,0
registry,REG-00026,E0033,0
