crm_id,account_name,billing_street,billing_city,billing_zip,industry
CRM-00001,Manufacturing Marlow N.V.,Mapke 530,Rotterdam,3011 CE,unknown
CRM-00002,Wexford Software Holidngs LLC,3267 Bahynhofstrasse Ln,Reno,89501,unknown
CRM-00003,Cedarbrook Automotive Group Company,116 Lincoln Ln,Boise,,unknown
CRM-00004,Foxhollow Freight Holdings NV,Elm 8795,Brussels,1000,unknown
CRM-00005,COASTAL PLUMBING LLC,5935 Prinsengracht Ave,Wichita,,unknown
CRM-00006,Esatbrook Bakery Group Inc.,3824 Elm Blvd,,27601,unknown
CRM-00007,Fairmont Foods Group,3442 Park Ln,Spokane,99201,unknown
CRM-00008,Foxhollow Auto Repair Holdings,Lincln 4020,Eindhoven,,unknown
CRM-00009,Delacroix Materials Corporation,926 Msin Ct,Denver,,unknown
CRM-00010,Brookhaven Freight Holdings BV,Franklin 9302,Munich,80331,unknown
CRM-00011,Brookhaven Auto Repair Group,Washington 4349,Munich,,unknown
CRM-00012,Mralow Freight Ltd.,Pirnsengracht 7029,Brussels,1000,unknown
CRM-00013,Marlow Freight,Prinsengracht 7029,Brussels,1000,unknown
CRM-00014,Harborview Pharma Group Inc.,781 Elm Ave,Spokane,99201,unknown
CRM-00015,AMBERFIELD SOFTWARE HOLDINGS CORP.,6262 Kerkstraat Blvd,Reno,89501,unknown
CRM-00016,Holdings Delacroix Landscaping Co.,1886 Mill Ct,Raleigh,27601,unknown
CRM-00017,Anchor Phatma Holdings Ltd.,Bahnhofstrasse 1753,Hamburg,20095,unknown
CRM-00018,Wexford Software Holdings,Lincoln 6136,Leiden,2311 GJ,unknown
CRM-00019,Wexford Software Holdings,Lincoln 6136,Leiden,2311 GJ,unknown
CRM-00020,Hollowell Insustrial GmbH,Maple 8015,Rotterdam,3011 CE,unknown
CRM-00021,Materials Holdings Sterling BV,Cedar 9305,Rotterdam,3011 CE,unknown
CRM-00022,IRONWOOD BAKERY BV,Harbor 2113,Leiden,,unknown
CRM-00023,Sterling Chemicals GmbH,Makret 7187,Eindhoven,5611 EM,unknown
CRM-00024,Ironwood Pizza Inc.,3760 Ceedar St,Tampa,33602,unknown
CRM-00025,Pinecrest Freight Corporation,3520 Mll Ave,Wichita,67202,unknown
CRM-00026,Pinecrest Freight Corp.,3520 Mill Ave,Wichita,,unknown
CRM-00027,Ashworth Automotive Group BV,River 7759,Munich,80331,unknown
CRM-00028,AMBERFIELD TEXTILES GROUP CORP.,7661 Oak Ln,Spokane,99201,unknown
CRM-00029,Meridian Logistics Group,Main 1800,Munich,80331,unknown
CRM-00030,Cedarbrook Consulting Group Inc,4573 Industrial Parkway Ave,Austin,73301,unknown
CRM-00031,Delacroix Technologies Holdings Company,8866 Maple St,Columbus,43215,unknown
