dir_id,company_name,full_address,phone,category
DIR-00001,Northgate Hardware Group,"Washington 3667, Rotterdam, 3011 CE",+1-555-8491,business
DIR-00002,Wexford Software Holdings LLC,3267 Bahnhofstrasse Ln,+1-555-6180,business
DIR-00003,Cedarbrook Automotive Gruop Company,"116 Linclon Ln, Boise, 83702",+1-555-2188,business
DIR-00004,Union Enegry Group Inc.,"1529 Highland St, Tampa, 33602",+1-555-1152,business
DIR-00005,Foxhollow Freight Holdings,"Elm 8795, Brussels, 1000",+1-555-8508,business
DIR-00006,Coastal Plumbing LLC,"5935 Prinsengracht Ave, Wichita",+1-555-2638,business
DIR-00007,Eastbrook Bakery Group Inc,"3824 Elm Blvd, Raleigh, 27601",+1-555-2200,business
DIR-00008,Fairmont Foods Group,"3442 Park Ln, Spokane, 99201",+1-555-9808,business
DIR-00009,Foxhollow Auto Repair Holdings Ltd.,"Lincoln 4020, Eindhoven, 5611 EM",+1-555-4492,business
DIR-00010,Delcaroix Materials Corporation,"926 Main Ct, Denver, 80202",+1-555-9288,business
DIR-00011,Freight Holdings Brookhaven BV,"Frnaklin 9302, Munich, 80331",+1-555-5345,business
DIR-00012,Brookhaven Auto Repair Group BV,"Washibgton 4349, Munich, 80331",+1-555-3170,business
DIR-00013,Freight Marlow Ltd.,"Prqinsengracht 7029, Brussels, 1000",+1-555-6718,business
DIR-00014,Harborview Phrama Group Inc.,"781 Elm Ave, Spokane, 99201",+1-555-2127,business
DIR-00015,DELACROIX LANDSCAPING HOLDINGS CO.,"1886 Mill Ct, Raleigh, 27601",+1-555-5002,business
DIR-00016,Coalt Technologies Group N.V.,"Industrial Parkway 2601, Amsterdam, 1017 AB",+1-555-7054,business
DIR-00017,Anchor Pharma Hroldings Ltd.,"Bahnhofstrasse 1753, Hamburg, 20095",+1-555-5669,business
DIR-00018,Wexford Software Hodlings BV,"Lincoln 6136, Leiden, 2311 GJ",+1-555-3584,business
DIR-00019,Hollowell Ind. GmbH,"Mple 8015, Rotterdam, 3011 CE",+1-555-8179,business
DIR-00020,Sterling Materials Holdings,"Cefar 9305, Rotterdam, 3011 CE",+1-555-9900,business
DIR-00021,Ironwood Bakery,"Harbor 2113, Leiden, 2311 GJ",+1-555-5956,business
DIR-00022,Holowell Landscaping Corp.,"3480 Mill Ct, Wichita, 67202",+1-555-9666,business
DIR-00023,Sterling Chemicals,"Market 7187, Eindhoven, 5611 EM",+1-555-1128,business
DIR-00024,Eastbrook Manufacturing Group,"9648 Mill Ave, Tulsa, 74103",+1-555-5905,business
DIR-00025,Pizza Ironwood Inc.,"3760 Cedr St, Tampa, 33602",+1-555-2697,business
DIR-00026,Pinecrest Freight,"3520 Mill Ave, Wichita, 67202",+1-555-3200,business
DIR-00027,Automotive Ashworth Group BV,"River 7759, Munich, 80331",+1-555-5333,business
DIR-00028,Meridian Logistics Gorup GmbH,"Min 1800, Munich, 80331",+1-555-2891,business
DIR-00029,Cedarbrook Consulting Group Inc,"4573 Industrial Parkway Ave, Austin, 73301",+1-555-2753,business
DIR-00030,Delacroix Tchnologies Holdings Co.,"8866 Maple St, Columbus, 43215",+1-555-3546,business
DIR-00031,Kingsley Media Holdings,"6580 Oak Ave, Boise",+1-555-5462,business
DIR-00032,Crestline Analytics Holdings Inc,"9499 Mill St, Wichita",+1-555-5616,business
DIR-00033,Summit Automotive Grhoup LLC,"8711 Lincokn St, Reno, 89501",+1-555-4450,business
DIR-00034,Summit Automotive Group,"8711 Lincoln St, Reno, 89501",+1-555-6617,business
DIR-00035,Redstone Manufacturing,"3863 Highkand St, Tulsa, 74103",+1-555-4335,business
DIR-00036,Foxhollow Logistics Inc.,"6878 Prinsengracht Dr, Reno, 89501",+1-555-5325,business
DIR-00037,ANCHOR ENERGY CO.,"5157 Maon Rd, Boise, 83702",+1-555-9280,business
DIR-00038,Sterling Agriculture Group,"1198 Maple Blvd, Tulsa, 74103",+1-555-9004,business
DIR-00039,Meridian Manufacturing BV,"Paerk 8298, Utrecht, 3511 LN",+1-555-5114,business
DIR-00040,Manufacturing Meridian BV,"Park 8298, Utrecht, 3511 LN",+1-555-1832,business
DIR-00041,Ironwood Materials Group GmbH,"Industroal Parkway 2594, Leiden, 2311 GJ",+1-555-2512,business
DIR-00042,Greystone Electric Ltd.,"Mill 138, Hamburg, 20095",+1-555-7939,business
DIR-00043,Meeidian Consulting Group B.V.,"Mill 1763, Utrecht",+1-555-5533,business
DIR-00044,Foxhollow Energy Corporation,"3345 Bahnhofstrasse Ct, Raleigh, 27601",+1-555-1722,business
DIR-00045,Anchor Landscaping Hodings Inc.,"6949 Park St, Denver, 80202",+1-555-1058,business
DIR-00046,Falcon Manufacturing Inc,"8948 Oak Ct, Tampa, 33602",+1-555-6464,business
DIR-00047,Union Robotics Holdings Inc.,"5060 Sunset Ct, Denver",+1-555-3143,business
DIR-00048,Whitfield Coffee Holdings B.V.,"Mill 5804, Brussels, 1000",+1-555-5291,business
DIR-00049,Whitfield Coffe Holdings B.V.,"Mill 5804, Brussels, 1000",+1-555-3647,business
DIR-00050,Union Materials Holdings B.V.,"Maple 6765, Utrecht, 3511 LN",+1-555-8239,business
DIR-00051,Cobalt Electric Group BV,"Lincoln 4381, Rotterdam, 3011 CE",+1-555-8007,business
DIR-00052,Eastbrook Materials Holdings BV,"Franklin 6538, Hamburg, 20095",+1-555-1158,business
DIR-00053,Highland Textiles,"Mill 6558, Antwerp, 2000",+1-555-2832,business
DIR-00054,Falcon Freight Holdings Limited,"Oak 4359, Rotterdam, 3011 CE",+1-555-2232,business
