reg_id,legal_name,street_address,city,postal_code,country,incorporation_year
REG-00001,Northgate Hardware Group BV,Washington 3667,Rotterdam,3011 CE,EU,1992
REG-00002,Manufacturing Marlow N.V.,Maple 530,Rotterdam,3011 CE,EU,1986
REG-00003,Wexofrd Software Holdings LLC,3267 Bahnhofstrasse Ln,Reno,89501,US,2002
REG-00004,UNION ENERGY GROUP INC.,1529 Highland St,Tampa,33602,US,2000
REG-00005,Foxhollow Freight Holdings,Elm 8795,Brussels,1000,EU,1999
REG-00006,Coastal Plumbilng LLC,5935 Prinsengracht Ave,Wichita,67202,US,1993
REG-00007,Eastbrook Bakery Group Inc.,3824 Elm Blvd,Raleigh,27601,US,1991
REG-00008,Foxhollow Auto Repair Holdings,Lincoln 4020,Eindhoven,5611 EM,EU,2019
REG-00009,DELACROIX MATERIALS CORPORATION,926 Main Ct,Denver,80202,US,1990
REG-00010,Delacroix Materials,926 Main Ct,Denver,80202,US,2022
REG-00011,BROOKHAVEN FREIGHT HOLDINGS BV,Frankiln 9302,Munich,80331,EU,2012
REG-00012,Brookhaven Auto Repair Group B.V.,Washington 4349,Munich,80331,EU,1987
REG-00013,Brookhaven Auto Repair Group B.V.,Washington 4349,Munich,80331,EU,1986
REG-00014,Marlow Freight Limited,Prinsengracht 7029,Brussels,1000,EU,1990
REG-00015,Amberfield Sofyware Holdings Corp.,6262 Kerksraat Blvd,Reno,89501,US,1998
REG-00016,Delacroix Landscaping Holdings Company,1886 Mlil Ct,,27601,US,1999
REG-00017,Cobalt Technologies Group NV,Industriacl Parkway 2601,Amsterdam,1017 AB,EU,2017
REG-00018,Wexford Software Holdings,Lincoln 6136,Leiden,2311 GJ,EU,2023
REG-00019,Sterling Materials Holdings BV,Ceidar 9305,Rotterdam,3011 CE,EU,1986
REG-00020,Bakery Ironwood BV,Harbor 2113,Leiden,2311 GJ,EU,2020
REG-00021,Hollowell Landscaping,3480 Mill Ct,Wichita,67202,US,1997
REG-00022,Eastbrook Manufacturing Group,9648 Mill Ave,Tulsa,74103,US,2019
REG-00023,Pinecrest Freight Corp.,3520 Mill Ave,Wichita,67202,US,2011
REG-00024,Ashworth Automotive Group BV,Rivr 7759,Munich,80331,EU,1999
REG-00025,Amberfield Textiles Group,7661 Oak Ln,Spokane,,US,2013
REG-00026,Kingsley Media Holdings Company,6580 Oak Ave,Boise,83702,US,2022
REG-00027,Granite Freight Group Corporation,6940 Mull Ln,Wichita,67202,US,2002
REG-00028,Analytics Crestline Holdings Inc.,9499 Mill St,Wichita,67202,US,1985
REG-00029,Summit Group Automotive LLC,8711 Licnoln St,Reno,89501,US,1995
REG-00030,Redstone Manufacturing,3863 Highland St,Tulsa,74103,US,2012
REG-00031,Logistics Foxhollow Inc.,6878 Prinsengracht Dr,,89501,US,2006
REG-00032,Anchor Energy Co.,5157 Man Rd,Boise,83702,US,2002
REG-00033,Sterling Agriculture Group Company,1198 Maple Blvd,Tulsa,,US,1994
REG-00034,Meridian Mkanufacturing BV,Park 8298,Utrecht,3511 LN,EU,1998
REG-00035,Ironwood Materials Group GmbH,Industrial Parkway 2594,Leiden,2311 GJ,EU,2006
REG-00036,Greystone Electric Limited,Mill 138,Hamburg,,EU,1991
REG-00037,Meridian Consulting Group BV,Mill 1763,Utrecht,,EU,1990
REG-00038,Foxhollow Energy,3345 Bahnhofstrasse Ct,Raleigh,27601,US,2009
REG-00039,ANCHOR LANDSCAPING HOLDINGS INC.,6949 Park St,Denver,80202,US,1991
REG-00040,Harborview Auto Group Repair Inc,7249 Mill Ln,Boise,83702,US,2007
REG-00041,Falcon Manufacturing Inc,8948 Oak Ct,Tampa,33602,US,2007
REG-00042,WHITFIELD COFFEE HOLDINGS B.V.,Mil 5804,Brussels,1000,EU,2023
REG-00043,Union Materials Holdings BV,Maeple 6765,Utrecht,,EU,2001
REG-00044,Cobalt Electric Group B.V.,Lincvoln 4381,Rotterdam,3011 CE,EU,1987
REG-00045,Bluewater Landscaping Group Inc,3279 Inmdustrial Parkway Rd,Raleigh,27601,US,2014
REG-00046,Highland Textiles,Mlill 6558,Antwerp,2000,EU,2019
REG-00047,Fakcon Freight Holdings Ltd.,Oak 4359,Rotterdam,,EU,1992
REG-00048,Lakeside Hardware Group,9942 Market St,Boise,83702,US,2009
REG-00049,Crestline Freight Holdings N.V.,Market 37,Leiden,2311 GJ,EU,1990
REG-00050,Crestlne Textiles Group B.V.,Kerkstraat 5419,Antwerp,2000,EU,2020
REG-00051,Falcon Hardware Group Ltd.,Ricer 5077,Antwerp,,EU,2003
REG-00052,Construction Coastal Holdings Inc,6898 Highland Ln,Wichita,67202,US,2008
REG-00053,Greystone Automotive Group,Maple 8987,Hamburg,20095,EU,2021
REG-00054,Amberfield Electric,5289 Industrial Parkway Blvd,Madison,53703,US,1997
REG-00055,Wexford Media BV,Union 1399,Leiden,2311 GJ,EU,1989
REG-00056,Greystone Sytems Holdings BV,Main 5095,Munich,80331,EU,1987
REG-00057,Greystone Syystems Holdings BV,Main 5095,Munich,80331,EU,1999
REG-00058,Bluewater Materials Group L.L.C.,1203 Industrial Parkway Blvd,Spokane,,US,2003
REG-00059,Granite Media Group Inc,2427 Bahnhofstrasse Ln,Denver,,US,1990
REG-00060,Pinecrest Landscaping Holdings Corporation,2194 Industrial Parkway Ln,Reno,89501,US,1999
